"Page","File","Svg","SvgExists","TextTags","TspanTags","PathTags","HasReadableText","SampleText","Recommendation"
"43","עמוד-43.html","pages/משוואות/assets/page-03.svg","True","0","0","133","False","","כנראה SVG וקטורי/תמונה — צריך Claude/OCR נקודתי"
"44","עמוד-44.html","pages/משוואות/assets/page-04.svg","True","0","0","137","False","","כנראה SVG וקטורי/תמונה — צריך Claude/OCR נקודתי"
"45","עמוד-45.html","pages/משוואות/assets/page-05.svg","True","0","0","172","False","","כנראה SVG וקטורי/תמונה — צריך Claude/OCR נקודתי"
"46","עמוד-46.html","pages/משוואות/assets/page-06.svg","True","0","0","206","False","","כנראה SVG וקטורי/תמונה — צריך Claude/OCR נקודתי"
"47","עמוד-47.html","pages/משוואות/assets/page-07.svg","True","0","0","176","False","","כנראה SVG וקטורי/תמונה — צריך Claude/OCR נקודתי"
"48","עמוד-48.html","pages/משוואות/assets/page-08.svg","True","0","0","189","False","","כנראה SVG וקטורי/תמונה — צריך Claude/OCR נקודתי"
"49","עמוד-49.html","pages/משוואות/assets/page-09.svg","True","0","0","154","False","","כנראה SVG וקטורי/תמונה — צריך Claude/OCR נקודתי"
"50","עמוד-50.html","pages/משוואות/assets/page-10.svg","True","0","0","150","False","","כנראה SVG וקטורי/תמונה — צריך Claude/OCR נקודתי"
"51","עמוד-51.html","pages/משוואות/assets/page-11.svg","True","0","0","157","False","","כנראה SVG וקטורי/תמונה — צריך Claude/OCR נקודתי"
"52","עמוד-52.html","pages/משוואות/assets/page-12.svg","True","0","0","162","False","","כנראה SVG וקטורי/תמונה — צריך Claude/OCR נקודתי"
"53","עמוד-53.html","pages/משוואות/assets/page-13.svg","True","0","0","185","False","","כנראה SVG וקטורי/תמונה — צריך Claude/OCR נקודתי"
"54","עמוד-54.html","pages/משוואות/assets/page-14.svg","True","0","0","186","False","","כנראה SVG וקטורי/תמונה — צריך Claude/OCR נקודתי"
"55","עמוד-55.html","pages/משוואות/assets/page-15.svg","True","0","0","128","False","","כנראה SVG וקטורי/תמונה — צריך Claude/OCR נקודתי"
"56","עמוד-56.html","pages/משוואות/assets/page-16.svg","True","0","0","124","False","","כנראה SVG וקטורי/תמונה — צריך Claude/OCR נקודתי"
"57","עמוד-57.html","pages/משוואות/assets/page-17.svg","True","0","0","219","False","","כנראה SVG וקטורי/תמונה — צריך Claude/OCR נקודתי"
"58","עמוד-58.html","pages/משוואות/assets/page-18.svg","True","0","0","121","False","","כנראה SVG וקטורי/תמונה — צריך Claude/OCR נקודתי"
"59","עמוד-59.html","pages/משוואות/assets/page-19.svg","True","0","0","182","False","","כנראה SVG וקטורי/תמונה — צריך Claude/OCR נקודתי"
"60","עמוד-60.html","pages/משוואות/assets/page-20.svg","True","0","0","141","False","","כנראה SVG וקטורי/תמונה — צריך Claude/OCR נקודתי"
"61","עמוד-61.html","pages/משוואות/assets/page-21.svg","True","0","0","175","False","","כנראה SVG וקטורי/תמונה — צריך Claude/OCR נקודתי"
